iter	Passed	Remaining
942	67184	146551
943	67256	146481
944	67322	146399
945	67390	146321
946	67465	146257
947	67542	146199
948	67617	146135
949	67692	146073
950	67766	146007
951	67839	145939
952	67929	145909
953	68017	145874
954	68083	145792
955	68156	145723
956	68242	145684
957	68324	145636
958	68391	145555
959	68473	145505
960	68545	145435
961	68629	145391
962	68695	145310
963	68762	145229
964	68855	145203
965	68913	145102
966	68988	145040
967	69073	144997
968	69167	144973
969	69247	144920
970	69300	144811
971	69383	144763
972	69447	144676
973	69534	144637
974	69586	144526
975	69660	144460
976	69734	144394
977	69819	144351
978	69909	144317
979	69968	144221
980	70064	144200
981	70118	144093
982	70198	144039
983	70286	144002
984	70353	143921
985	70444	143890
986	70514	143815
987	70598	143769
988	70665	143687
989	70723	143590
990	70816	143562
991	70924	143564
992	71001	143504
993	71056	143400
994	71139	143352
995	71213	143284
996	71290	143225
997	71365	143159
998	71450	143115
999	71535	143070
1000	71621	143029
1001	71696	142963
1002	71765	142887
1003	71840	142822
1004	71921	142769
1005	71990	142693
1006	72063	142624
1007	72125	142533
1008	72198	142464
1009	72267	142389
1010	72335	142309
1011	72419	142262
1012	72492	142193
1013	72563	142122
1014	72619	142018
1015	72678	141922
1016	72744	141840
1017	72828	141793
1018	72886	141696
1019	72957	141623
1020	73041	141575
1021	73119	141517
1022	73191	141446
1023	73290	141427
1024	73376	141383
1025	73454	141324
1026	73535	141271
1027	73611	141207
1028	73679	141129
1029	73750	141056
1030	73809	140961
1031	73870	140868
1032	73951	140814
1033	74017	140733
1034	74099	140681
1035	74171	140610
1036	74241	140536
1037	74318	140474
1038	74399	140420
1039	74475	140356
1040	74547	140287
1041	74621	140219
1042	74693	140149
1043	74766	140078
1044	74840	140013
1045	74921	139957
1046	75007	139913
1047	75072	139828
1048	75158	139783
1049	75245	139741
1050	75325	139685
1051	75398	139615
1052	75463	139532
1053	75536	139462
1054	75598	139373
1055	75665	139294
1056	75739	139225
1057	75819	139169
1058	75908	139128
1059	75991	139079
1060	76064	139008
1061	76131	138929
1062	76222	138891
1063	76281	138797
1064	76347	138715
1065	76439	138681
1066	76518	138621
1067	76584	138541
1068	76675	138503
1069	76755	138447
1070	76839	138396
1071	76913	138330
1072	76999	138282
1073	77091	138247
1074	77151	138155
1075	77241	138115
1076	77309	138038
1077	77387	137976
1078	77462	137910
1079	77536	137843
1080	77589	137738
1081	77661	137666
1082	77724	137579
1083	77792	137500
1084	77860	137422
1085	77943	137369
1086	78041	137344
1087	78124	137292
1088	78197	137222
1089	78284	137177
1090	78367	137125
1091	78433	137042
1092	78489	136944
1093	78567	136882
1094	78620	136778
1095	78712	136740
1096	78790	136679
1097	78865	136614
1098	78941	136549
1099	78996	136449
1100	79076	136390
1101	79164	136346
1102	79216	136241
1103	79289	136171
1104	79358	136093
1105	79417	135999
1106	79471	135899
1107	79554	135845
1108	79638	135795
1109	79719	135738
1110	79786	135658
1111	79861	135591
1112	79939	135531
1113	80026	135484
1114	80108	135429
1115	80175	135349
1116	80260	135300
1117	80320	135208
1118	80398	135146
1119	80478	135088
1120	80550	135017
1121	80610	134925
1122	80665	134825
1123	80743	134763
1124	80810	134684
1125	80888	134622
1126	80967	134563
1127	81040	134493
1128	81103	134406
1129	81171	134327
1130	81239	134250
1131	81312	134180
1132	81394	134124
1133	81468	134056
1134	81539	133982
1135	81606	133903
1136	81673	133823
1137	81756	133770
1138	81840	133718
1139	81919	133658
1140	81999	133600
1141	82078	133540
1142	82162	133487
1143	82235	133417
1144	82298	133331
1145	82378	133271
1146	82443	133188
1147	82522	133128
1148	82594	133056
1149	82667	132987
1150	82738	132913
1151	82799	132823
1152	82901	132800
1153	82983	132744
1154	83066	132690
1155	83143	132627
1156	83227	132573
1157	83301	132504
1158	83367	132423
1159	83438	132351
1160	83506	132273
1161	83594	132225
1162	83670	132161
1163	83751	132102
1164	83829	132040
1165	83905	131974
1166	84011	131955
1167	84076	131874
1168	84167	131831
1169	84253	131780
1170	84331	131717
1171	84386	131619
1172	84440	131520
1173	84525	131468
1174	84615	131424
1175	84691	131358
1176	84762	131285
1177	84845	131229
1178	84931	131179
1179	84986	131081
1180	85058	131008
1181	85114	130911
1182	85184	130837
1183	85245	130747
1184	85318	130678
1185	85383	130594
1186	85460	130530
1187	85540	130471
1188	85612	130399
1189	85703	130356
1190	85784	130297
1191	85875	130253
1192	85932	130158
1193	86009	130095
1194	86081	130022
1195	86141	129932
1196	86225	129878
1197	86308	129823
1198	86375	129743
1199	86448	129673
1200	86518	129597
1201	86600	129540
1202	86654	129442
1203	86719	129358
1204	86796	129294
1205	86873	129229
1206	86967	129189
1207	87025	129097
1208	87100	129029
1209	87180	128969
1210	87236	128873
1211	87291	128775
1212	87374	128720
1213	87435	128631
1214	87501	128551
1215	87575	128482
1216	87646	128409
1217	87730	128355
1218	87796	128273
1219	87877	128214
1220	87955	128152
1221	88028	128081
1222	88089	127993
1223	88160	127919
1224	88228	127841
1225	88302	127771
1226	88377	127703
1227	88453	127637
1228	88525	127566
1229	88604	127504
1230	88661	127410
1231	88721	127321
1232	88788	127241
1233	88864	127175
1234	88928	127091
1235	88984	126997
1236	89042	126905
1237	89095	126806
1238	89163	126728
1239	89230	126649
1240	89307	126584
1241	89387	126524
1242	89469	126466
1243	89536	126387
1244	89596	126298
